	 181759
chondroitin sulfate proteoglycan biosynthetic process	 2
embryonic digestive tract development	 9
calcium-transporting ATPase activity	 48
lysosomal transport	 8
molecular_function	 1903
somatic sex determination	 1
cell-matrix adhesion	 200
sulfinoalanine decarboxylase activity	 1
otic vesicle morphogenesis	 1
tissue development	 5
lactaldehyde reductase activity	 3
protein localization to chromosome, telomeric region	 5
DNA double-strand break processing involved in repair via single-strand annealing	 2
tube morphogenesis	 3
hormone activity	 11
diacylglycerol O-acyltransferase activity	 11
succinate-CoA ligase (GDP-forming) activity	 8
mitochondrial electron transport, cytochrome c to oxygen	 27
maternal behavior	 3
histone demethylase activity (H3-K9 specific)	 1
granulocyte differentiation	 1
monocyte differentiation	 1
triglyceride metabolic process	 7
iron-sulfur cluster binding	 637
3-isopropylmalate dehydratase complex	 9
translation termination factor activity	 1
glycoprotein binding	 23
B cell mediated immunity	 1
substrate-dependent cell migration	 1
GMP binding	 1
response to herbicide	 8
protein import into mitochondrial outer membrane	 7
mitosis	 201
cellulose binding	 19
fatty acid transporter activity	 1
deoxyribonucleoside triphosphate biosynthetic process	 2
synaptic vesicle docking involved in exocytosis	 1
nitrate reductase complex	 28
catecholamine biosynthetic process	 4
protein targeting to lysosome	 4
response to arsenic-containing substance	 14
beta-mannosidase activity	 8
T cell differentiation in thymus	 16
retinoid metabolic process	 6
notochord development	 4
N-carbamoyl-L-amino-acid hydrolase activity	 17
regulation of cytoskeleton organization	 3
ventral midline development	 1
spermatid development	 29
elevation of cytosolic calcium ion concentration	 22
anterograde synaptic vesicle transport	 1
regulation of protein localization to cell surface	 5
transforming growth factor beta receptor homodimeric complex	 2
taurine dioxygenase activity	 1
pseudohyphal growth	 2
UDP-glucuronate biosynthetic process	 1
porphobilinogen synthase activity	 9
segment specification	 2
peptidoglycan metabolic process	 8
tRNA (adenine-N1-)-methyltransferase activity	 7
alpha-(1->3)-fucosyltransferase activity	 2
oleoyl-[acyl-carrier-protein] hydrolase activity	 6
positive regulation of glucokinase activity	 4
propionate biosynthetic process	 5
leaf formation	 2
negative regulation of lipopolysaccharide-mediated signaling pathway	 1
positive regulation of axon extension involved in regeneration	 1
wing disc dorsal/ventral pattern formation	 4
resolution of mitotic recombination intermediates	 1
ribokinase activity	 10
regulation of microtubule-based process	 4
regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum	 10
polyadenylation-dependent snoRNA 3'-end processing	 1
base-excision repair	 53
isoprenoid catabolic process	 2
Actinobacterium-type cell wall biogenesis	 1
protein tyrosine/serine/threonine phosphatase activity	 66
phospholipase A2 activator activity	 1
smoothened signaling pathway involved in dorsal/ventral neural tube patterning	 2
mismatch repair complex	 3
negative regulation of cell cycle	 18
ventricular cardiac muscle cell development	 3
regulation of circadian rhythm	 5
carnitine transmembrane transporter activity	 1
protein localization to cell surface	 44
cellular protein metabolic process	 205
bicarbonate transport	 5
glycine cleavage complex	 7
centriolar satellite	 3
asparagine biosynthetic process	 9
estrone sulfotransferase activity	 1
regulation of mitotic cell cycle, embryonic	 1
negative regulation of centrosome duplication	 2
L-arabinitol 2-dehydrogenase activity	 9
steroid hormone mediated signaling pathway	 7
cytoplasmic microtubule organization	 7
arginyltransferase activity	 4
regulation of neuronal synaptic plasticity	 7
lipoxygenase activity	 10
polyphosphate kinase complex	 14
cobalt ion transport	 2
protein ufmylation	 3
dGTPase activity	 4
plastid stroma	 4
gastrulation with mouth forming second	 23
tRNA dimethylallyltransferase activity	 3
mesenchymal to epithelial transition	 1
origin recognition complex	 8
deoxyribonucleotide catabolic process	 7
negative regulation of fibroblast growth factor receptor signaling pathway	 3
polynucleotide 5'-phosphatase activity	 1
fructose transport	 4
positive regulation of lamellipodium assembly	 8
X chromosome	 4
regulation of stomatal movement	 9
protein transport by the Tat complex	 4
mRNA metabolic process	 110
reverse cholesterol transport	 3
depyrimidination	 1
negative regulation of telomere maintenance	 6
copper chaperone activity	 1
branching involved in prostate gland morphogenesis	 2
establishment or maintenance of polarity of embryonic epithelium	 4
polydeoxyribonucleotide kinase activity	 1
genitalia development	 2
vacuolar transporter chaperone complex	 2
UTP-monosaccharide-1-phosphate uridylyltransferase activity	 2
nucleoside diphosphate kinase activity	 28
mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase activity	 1
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen	 22
protein complex scaffold	 8
epithelial cell migration, open tracheal system	 7
platelet-derived growth factor-activated receptor activity	 1
neurological system process involved in regulation of systemic arterial blood pressure	 1
positive regulation of cytotoxic T cell differentiation	 2
cell morphogenesis	 73
formate metabolic process	 26
L-glutamate transmembrane transporter activity	 2
endoderm formation	 4
uncoating of virus	 1
BRCA2-MAGE-D1 complex	 4
negative regulation of cellular metabolic process	 1
sulfate reduction	 3
CDP-diacylglycerol metabolic process	 4
establishment or maintenance of apical/basal cell polarity	 8
prostaglandin transport	 3
cellular lipid metabolic process	 49
equilibrioception	 5
leaf vascular tissue pattern formation	 8
isocitrate lyase activity	 5
drug binding	 12
choloyl-CoA hydrolase activity	 1
copper ion transmembrane transport	 2
ADP-ribosyl-[dinitrogen reductase] hydrolase activity	 4
cobalamin transport	 1
pyrimidine-nucleoside phosphorylase activity	 3
cellular component disassembly involved in execution phase of apoptosis	 13
transcription, DNA-dependent	 1102
skeletal myofibril assembly	 11
viral entry into host cell	 5
positive regulation of Rac GTPase activity	 3
histone deacetylase binding	 35
defasciculation of motor neuron axon	 1
metanephric glomerular visceral epithelial cell development	 1
adenine catabolic process	 1
regulation of myelination	 4
heparan sulfate proteoglycan binding	 2
allantoin catabolic process	 5
rRNA (cytosine-2'-O-)-methyltransferase activity	 5
positive regulation of pathway-restricted SMAD protein phosphorylation	 3
melanotic encapsulation of foreign target	 1
plasmodesmata-mediated intercellular transport	 1
1-acylglycerophosphocholine O-acyltransferase activity	 1
protein tyrosine/threonine phosphatase activity	 4
sulfoacetaldehyde acetyltransferase activity	 22
biosynthetic process	 687
dosage compensation by inactivation of X chromosome	 2
heme metabolic process	 2
lytic transglycosylase activity	 8
regulation of nuclear-transcribed mRNA poly(A) tail shortening	 1
sodium ion transmembrane transporter activity	 10
post-embryonic camera-type eye development	 5
nitrite reductase (NO-forming) activity	 15
alpha-1,3-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity	 2
response to sucrose stimulus	 4
positive regulation of Rab GTPase activity	 52
regulation of BMP signaling pathway	 2
JUN kinase kinase kinase activity	 1
GTPase inhibitor activity	 7
mammary gland involution	 2
sorbitol-6-phosphate 2-dehydrogenase activity	 2
positive regulation of autophagy	 5
collagen fibril organization	 12
male mating behavior	 1
copper ion binding	 202
vitamin B6 metabolic process	 6
regulation of branching involved in mammary gland duct morphogenesis	 1
behavioral response to ethanol	 7
negative regulation of T cell differentiation in thymus	 3
histamine secretion by mast cell	 6
salivary gland cavitation	 1
UDP-N-acetylglucosamine-lysosomal-enzyme N-acetylglucosaminephosphotransferase activity	 31
polyphosphate:AMP phosphotransferase activity	 5
fatty acid transport	 1
vesicle	 16
potassium ion transmembrane transport	 69
inner ear receptor stereocilium organization	 11
evasion or tolerance of host defenses by virus	 2
calcium- and calmodulin-regulated 3',5'-cyclic-GMP phosphodiesterase activity	 5
tongue development	 1
phthalate 4,5-dioxygenase activity	 3
bile acid binding	 1
detection of light stimulus involved in visual perception	 2
hydroxymethylbutenyl pyrophosphate reductase activity	 1
indole-3-acetaldehyde reductase (NADPH) activity	 1
inositol tetrakisphosphate 3-kinase activity	 2
kinase inhibitor activity	 11
CMP-N-acetylneuraminate transport	 1
female sex determination	 1
coproporphyrinogen dehydrogenase activity	 11
fibrillar center	 3
eisosome	 1
respiratory burst	 1
STAGA complex	 11
response to manganese ion	 4
DNA replication	 560
collagen type XIII	 2
chloride ion binding	 3
G-protein coupled serotonin receptor binding	 2
polytene chromosome	 11
adenylate kinase activity	 33
acute inflammatory response	 7
UDP-N-acetylglucosamine transport	 6
cytosine metabolic process	 1
viral assembly, maturation, egress, and release	 8
regulation of tumor necrosis factor-mediated signaling pathway	 1
ubiquitin-ubiquitin ligase activity	 9
L-glucuronate reductase activity	 2
T-tubule	 20
neuroprotection	 11
ARF guanyl-nucleotide exchange factor activity	 50
DNA-methyltransferase activity	 1
mitochondrial fusion	 2
regulation of vasodilation	 4
proton-transporting ATP synthase activity, rotational mechanism	 121
negative regulation of metalloenzyme activity	 1
protein kinase A binding	 2
positive regulation of synaptic transmission, GABAergic	 1
renal outer medulla development	 2
positive regulation of pinocytosis	 6
phosphotransferase activity, alcohol group as acceptor	 147
holocytochrome-c synthase activity	 1
cyclic-nucleotide-mediated signaling	 1
exodeoxyribonuclease III activity	 15
motile cilium	 15
palate development	 31
nuclear exosome (RNase complex)	 6
peptidoglycan-based cell wall biogenesis	 58
POZ domain binding	 6
polycystin complex	 5
carbon-oxygen lyase activity, acting on polysaccharides	 1
positive regulation of peptidyl-threonine phosphorylation	 6
early endosome	 68
P granule organization	 1
sodium-exporting ATPase activity, phosphorylative mechanism	 3
neuron projection terminus	 2
activation of pro-apoptotic gene products	 25
axon cargo transport	 1
acetyl-CoA biosynthetic process from pyruvate	 3
nickel cation transmembrane transport	 4
pore complex	 5
positive regulation of B cell tolerance induction	 1
asynchronous neurotransmitter secretion	 1
porphyrin-containing compound metabolic process	 6
collagen biosynthetic process	 6
N-acetylgalactosamine 4-sulfate 6-O-sulfotransferase activity	 3
chlorophyllide a oxygenase [overall] activity	 3
cellular macromolecule catabolic process	 1
arginine biosynthetic process via ornithine	 13
Golgi cisterna membrane	 27
hexosaminidase activity	 1
ureteric bud development	 8
methionyl-tRNA aminoacylation	 24
protein prenyltransferase activity	 4
photoreceptor activity	 7
pre-mRNA 3'-splice site binding	 2
glycine catabolic process	 160
regulation of protein stability	 32
response to brassinosteroid stimulus	 1
dauer larval development	 1
metanephric ascending thin limb development	 3
phosphoribosyl-ATP diphosphatase activity	 8
vesicle fusion with Golgi apparatus	 1
lipid binding	 85
pyrimidine nucleobase transmembrane transporter activity	 1
regulation of mitotic sister chromatid segregation	 3
regulation of transcription involved in anterior/posterior axis specification	 2
nuclear polyadenylation-dependent snoRNA catabolic process	 1
protein binding involved in protein folding	 1
DNA (cytosine-5-)-methyltransferase activity	 34
larval midgut cell programmed cell death	 2
beta-2 adrenergic receptor binding	 1
cartilage development	 31
vesicle localization	 1
platelet alpha granule	 2
response to amphetamine	 12
retina layer formation	 9
flavin adenine dinucleotide binding	 677
xylulose metabolic process	 2
cellular homeostasis	 1
mitotic sister chromatid segregation	 14
negative regulation of interleukin-18 production	 11
electron transport chain	 290
